State,Number_of_Doctors,Number_of_Dentists,Number_of_Nurses,Number_of_other_Health_personels,No_of_facility,lat,long
Abia,238.0,59.0,533.0,2698.0,754,5.4540953,7.5153071
Adamawa,406.0,263.0,806.0,4011.0,844,9.5129772,12.3881887
Akwa-Ibom,395.0,69.0,262.0,1215.0,408,4.9880607,7.795178277855076
Anambra,832.0,276.0,1165.0,3066.0,916,6.2183136,6.9531842
Bauchi,299.0,84.0,943.0,5217.0,1122,10.6228284,10.0287754
Bayelsa,249.0,70.0,250.0,1188.0,288,4.7629786,6.028898
Benue,345.0,50.0,618.0,3857.0,1100,7.3505747,8.7772877
Borno,475.0,23.0,897.0,4120.0,441,45.956665099999995,10.174282153040512
Cross River,500.0,66.0,649.0,3632.0,1053,5.8671966,8.5204774
Delta,1233.0,121.0,711.0,2003.0,598,33.3926893,-95.6749486
Ebonyi,1095.0,878.0,735.0,2381.0,676,6.1996918,8.0348906
Edo,324.0,81.0,499.0,1335.0,485,6.6076575,5.9722713
Ekiti,884.0,369.0,432.0,3139.0,479,7.736891,5.2738326
Enugu,815.0,71.0,588.0,3297.0,749,6.5536094,7.4143061
FCT,1492.0,135.0,767.0,2263.0,364,8.8311228,7.1724673
Gombe,463.0,53.0,1072.0,3792.0,625,10.38301,11.206567
Imo,664.0,116.0,897.0,2619.0,804,5.5859456,7.0669651
Jigawa,214.0,46.0,1061.0,3577.0,729,12.3252362,9.5103296
Kaduna,967.0,114.0,2214.0,6802.0,1186,10.3825318,7.8533226
Kano,1531.0,212.0,1796.0,8321.0,1386,11.8948389,8.5364136
Katsina,345.0,106.0,819.0,6501.0,1636,12.5630825,7.6207063
Kebbi,266.0,23.0,972.0,4583.0,895,11.4167574,4.1074545
Kogi,380.0,53.0,553.0,3591.0,1081,7.7949602,6.6868669
Kwara,1153.0,660.0,653.0,3422.0,774,8.8367891,4.6688487
Lagos,3026.0,699.0,2467.0,4945.0,1094,43.2083246,-0.2252442
Nasarawa,331.0,47.0,445.0,3678.0,854,8.4387868,8.2382849
Niger,280.0,35.0,842.0,4595.0,1401,9.6187093,6.5475752
Ogun,522.0,144.0,566.0,1728.0,631,6.9788582,3.4389293
Ondo,193.0,78.0,404.0,1801.0,475,7.0209686,5.0567477
Osun,964.0,123.0,547.0,2760.0,766,7.5484047,4.4978307
Oyo,1192.0,155.0,1053.0,3384.0,1017,8.2151249,3.5642897
Plateau,1193.0,74.0,450.0,3889.0,1247,9.0583446,9.6826289
Rivers,533.0,113.0,429.0,3095.0,396,4.8416028,6.8604088
Sokoto,71.0,22.0,255.0,1977.0,355,13.0611195,5.3152203
Taraba,186.0,26.0,490.0,3028.0,742,8.0141334,10.7376336
Yobe,201.0,126.0,1038.0,2866.0,446,12.1233242,11.5065937
Zamfara,212.0,47.0,897.0,3419.0,719,12.0078998,6.4191432
