State,Doctors,Dentists,Nurses,Allied,Facilities
Abia,238.0,59.0,533.0,2698.0,754
Adamawa,406.0,263.0,806.0,4011.0,844
Akwa-Ibom,395.0,69.0,262.0,1215.0,408
Anambra,832.0,276.0,1165.0,3066.0,916
Bauchi,299.0,84.0,943.0,5217.0,1122
Bayelsa,249.0,70.0,250.0,1188.0,288
Benue,345.0,50.0,618.0,3857.0,1100
Borno,475.0,23.0,897.0,4120.0,441
Cross River,500.0,66.0,649.0,3632.0,1053
Delta,1233.0,121.0,711.0,2003.0,598
Ebonyi,1095.0,878.0,735.0,2381.0,676
Edo,324.0,81.0,499.0,1335.0,485
Ekiti,884.0,369.0,432.0,3139.0,479
Enugu,815.0,71.0,588.0,3297.0,749
FCT,1492.0,135.0,767.0,2263.0,364
Gombe,463.0,53.0,1072.0,3792.0,625
Imo,664.0,116.0,897.0,2619.0,804
Jigawa,214.0,46.0,1061.0,3577.0,729
Kaduna,967.0,114.0,2214.0,6802.0,1186
Kano,1531.0,212.0,1796.0,8321.0,1386
Katsina,345.0,106.0,819.0,6501.0,1636
Kebbi,266.0,23.0,972.0,4583.0,895
Kogi,380.0,53.0,553.0,3591.0,1081
Kwara,1153.0,660.0,653.0,3422.0,774
Lagos,3026.0,699.0,2467.0,4945.0,1094
Nasarawa,331.0,47.0,445.0,3678.0,854
Niger,280.0,35.0,842.0,4595.0,1401
Ogun,522.0,144.0,566.0,1728.0,631
Ondo,193.0,78.0,404.0,1801.0,475
Osun,964.0,123.0,547.0,2760.0,766
Oyo,1192.0,155.0,1053.0,3384.0,1017
Plateau,1193.0,74.0,450.0,3889.0,1247
Rivers,533.0,113.0,429.0,3095.0,396
Sokoto,71.0,22.0,255.0,1977.0,355
Taraba,186.0,26.0,490.0,3028.0,742
Yobe,201.0,126.0,1038.0,2866.0,446
Zamfara,212.0,47.0,897.0,3419.0,719
